video_id,title,description,channel_title,tags_api_raw,views,views_per_hour,from_shorts,duration_sec,published_at,category_id,using_fallback,category_name,hashtags_extracted,tags_common,tags_only_api,tags_only_hash
y_EB4KWErd4,Проверка смелости с механической собакой 🐕,,FilmBytes,[],3110906,31290.555378719273,1,21,2025-11-09T09:13:07Z,24,0,Entertainment,[],[],[],[]
shHVBgeZ4Iw,"Знаменитости, погибшие во время выступления.","✔✔✔ТЛЕГРАММ КАНАЛ    https://t.me/prosperitymind  ✔✔✔


Transition by Alex-Productions | https://onsound.eu/
Music promoted by https://www.free-stock-music.com
Creative Commons / Attribution 3.0 Unported License (CC BY 3.0)
https://creativecommons.org/licenses/by/3.0/deed.en_US

Video by ROMAN ODINTSOV: https://www.pexels.com/video/a-man-walking-on-an-edge-and-taking-a-photo-5667135/

Video by Darina Belonogova: https://www.pexels.com/video/woman-eating-pastries-7214704/

Video by Tima Miroshnichenko: https://www.pexels.com/video/group-of-people-having-a-therapy-session-5712757/

Video by Kindel Media: https://www.pexels.com/video/people-going-up-the-stairs-7578477/

Video by Pavel Danilyuk: https://www.pexels.com/video/business-people-collaboration-in-a-meeting-5520073/

Video by Timur Weber: https://www.pexels.com/video/a-man-lying-on-the-bed-8558498/

Video by Ron Lach : https://www.pexels.com/video/man-waking-up-n-bed-and-checking-his-phone-9615484/

Video by cottonbro studio: https://www.pexels.com/video/unwell-woman-sitting-on-the-bed-6754003/
Video by MART  PRODUCTION: https://www.pexels.com/video/a-frustrated-man-sitting-on-the-bed-7698695/

Transition by Alex-Productions | https://onsound.eu/
Music promoted by https://www.free-stock-music.com
Creative Commons / Attribution 3.0 Unported License (CC BY 3.0)
https://creativecommons.org/licenses/by/3.0/deed.en_US



The Crown by Alexander Nakarada (CreatorChords) | https://creatorchords.com
Music promoted by https://www.free-stock-music.com
Creative Commons / Attribution 4.0 International (CC BY 4.0)
https://creativecommons.org/licenses/by/4.0/
Be Inspired by Keys of Moon | https://soundcloud.com/keysofmoon
Music promoted by https://www.free-stock-music.com
Creative Commons / Attribution 4.0 International (CC BY 4.0)
https://creativecommons.org/licenses/by/4.0/

Трек: Warriyo - Mortals (feat. Laura Brehm) [NCS Release]
Музыка предоставлена NoCopyrightSounds.
Смотреть: http://NCS.lnk.to/MortalsAT/youtube Скачать бесплатно / Стрим: http://ncs.io/Mortals - - - -


https://pixabay.com/ru/users/zethian-12909724/?utm_source=link-attribution&utm_medium=referral&utm_campaign=video&utm_content=57277

«Разработано Freepik» www.freepik.com

https://ru.pikbest.com/video/4k-mother-and-son-walking-in-the-park-back-view-real-shot_5615987.html

Made With Suno   https://app.suno.ai/song/a9565307-e0ae-47c3-a406-452dc4b09579/


Video oleh Taryn Elliott: https://www.pexels.com/id-id/video/wanita-gerak-lambat-model-kendaraan-5309420/

Vecteezy.com

https://mixkit.co/

I got this free video on Coverr.co https://coverr.co/videos/walking-to-the-mountain-top-q0cbjupqo6?utm_source=coverr&utm_medium=referral&utm_content=creditShareLink

Video by MART  PRODUCTION: https://www.pexels.com/video/a-man-reading-newspaper-7263305/
Video by Kelly    : https://www.pexels.com/video/a-person-reading-a-burning-news-paper-6399898/

Video by cottonbro studio: https://www.pexels.com/video/a-man-inside-a-plane-6700089/

Video by Ono  Kosuki: https://www.pexels.com/video/woman-sitting-inside-the-train-while-reading-a-newspaper-5995593/

Video by Vanessa Garcia : https://www.pexels.com/video/man-in-business-attire-reading-a-newspaper-6324894/

Video by Dziana Hasanbekava: https://www.pexels.com/video/video-of-a-man-drinking-while-reading-a-book-7063373/

Video by Ron Lach : https://www.pexels.com/video/man-sitting-on-bed-in-prison-10472895/

Video by Emirhan Emiroğlu: https://www.pexels.com/video/man-sitting-behind-bonfire-14146234/

Video by  Anastasia  Shuraeva: https://www.pexels.com/video/a-man-reading-a-newspaper-by-the-beach-7539474/

Video by Dronepilot Chile : https://www.pexels.com/video/a-man-standing-on-a-rock-at-the-beach-16435017/

Video by Ono  Kosuki: https://www.pexels.com/video/woman-reading-a-newspaper-while-riding-inside-the-train-5999654/

Video by ANTONI SHKRABA production: https://www.pexels.com/video/an-elderly-man-reading-a-book-by-a-window-8870274/
https://pixabay.com/ru/users/nourdinaska-42807016/?utm_source=link-attribution&utm_medium=referral&utm_campaign=video&utm_content=203720

Трасса: Razihel - Faster [NCS Release]
Музыка предоставлена NoCopyrightSounds.
 

 • RAIZHELL - Быстрее | Фонк | NCS - Полицейский... 

Video by MART  PRODUCTION: https://www.pexels.com/video/woman-tired-after-work-7605057/

#интересныефакты #мотивационнаяречь  #сильныеслова #заработок
#motivation #мотивация #мотивациянауспех #саморазвитие #успех",Мотивационный Взрыв,"[""мотивационный взрыв"", ""мотивационный"", ""взрыв"", ""взрыв мозга"", ""мотивация"", ""успех"", ""цели"", ""саморазвитие"", ""личная эффективность"", ""вдохновение"", ""достижение"", ""мотивационные истории"", ""путь к мечте"", ""мотивационные цитаты"", ""личная трансформация"", ""самомотивация"", ""мотивационный контент"", ""мотивационный спикер"", ""ежедневная мотивация.""]",4839120,41507.23804439383,0,67,2025-11-08T16:03:13Z,24,0,Entertainment,"[""мотивация"", ""саморазвитие"", ""интересныефакты"", ""сильныеслова"", ""успех"", ""motivation"", ""мотивациянауспех"", ""заработок"", ""мотивационнаяречь""]","[""мотивация"", ""саморазвитие"", ""успех""]","[""вдохновение"", ""взрыв"", ""взрыв мозга"", ""достижение"", ""ежедневная мотивация."", ""личная трансформация"", ""личная эффективность"", ""мотивационные истории"", ""мотивационные цитаты"", ""мотивационный"", ""мотивационный взрыв"", ""мотивационный контент"", ""мотивационный спикер"", ""путь к мечте"", ""самомотивация"", ""цели""]","[""motivation"", ""заработок"", ""интересныефакты"", ""мотивационнаяречь"", ""мотивациянауспех"", ""сильныеслова""]"
n2-LG-rUyCE,Типичный вечер всех родителей!,,filmsserials,[],4400201,30658.740113053453,1,60,2025-11-07T13:07:00Z,24,0,Entertainment,[],[],[],[]
VQ60Ia6K5Zw,Приманили клиентов,"новости, новости сегодня, новости дня, главные новости сегодня, главные новости, свежие новости, сегодняшнего дня, события дня, короче новости, странные новости, новости мира, мировые новости, ильюша новости, новостничок",Новостной Гусь,[],1825893,40022.03773194956,1,36,2025-11-11T15:00:59Z,24,0,Entertainment,[],[],[],[]
NsWxfGF2rdk,"Китайцы РАЗРЕЗАЛИ Робота: Чтобы Доказать, что Это не Человек","Китайцы на презентации робота не поверили что это робот. И заявили что это человек в костюме.Тогда организаторам прошлось срезать с робота ткань, чтобы доказать обратное. У человекоподобного робота Iron гибкий позвоночник, 22 степенями подвижности рук, он даже может выбирать себе пол.

Сотрудничество: https://t.me/besseberg
Инста: instagram.com/make_newser

#новости #события #интересно",Собиратель новостей,"[""новости"", ""новости сегодня"", ""интересное"", ""сегодня"", ""в мире"", ""последние новости"", ""интересное видео"", ""познавательное видео"", ""лучшие новости"", ""горячие новости"", ""шортс"", ""shorts"", ""шок"", ""собиратель новостей"", ""события"", ""робот"", ""китай"", ""китайцы"", ""технологии"", ""робот как человек""]",1647898,23749.311734532523,1,17,2025-11-10T15:15:05Z,24,0,Entertainment,"[""интересно"", ""события"", ""новости""]","[""новости"", ""события""]","[""shorts"", ""в мире"", ""горячие новости"", ""интересное"", ""интересное видео"", ""китай"", ""китайцы"", ""лучшие новости"", ""новости сегодня"", ""познавательное видео"", ""последние новости"", ""робот"", ""робот как человек"", ""сегодня"", ""собиратель новостей"", ""технологии"", ""шок"", ""шортс""]","[""интересно""]"
yZIRAW1TtI4,ЗАСМЕЯЛСЯ-ПОДПИСАЛСЯ Ч.003😂😅🤣,"Согласно разделу 107 Закона об авторском праве США от 1976 года, материалы на этом канале могут использоваться в образовательных, аналитических, информационных и исследовательских целях, подпадая под категорию добросовестного использования.

Если вы считаете, что какое-либо видео нарушает ваши авторские права, свяжитесь с нами по адресу: dojdem8@gmail.com.",Turbo Shorts | Лучшие видео каждый день ,[],1533979,22370.73186409365,1,11,2025-11-10T16:04:04Z,24,0,Entertainment,[],[],[],[]
enE_vbpHNs0,Доверил друзьям ответственную работу и сильно пожалел об этом 😂 #фильмы#фильм#кино#сериал,,Great Scene,[],1627230,64305.47125514877,1,60,2025-11-12T11:20:02Z,24,0,Entertainment,"[""кино"", ""фильмы"", ""сериал"", ""фильм""]",[],[],"[""кино"", ""сериал"", ""фильм"", ""фильмы""]"
kRJiWrQINDM,Вот что никто не говорит о лысых кошках #shorts,,Гохисыч,[],4351356,30208.374965030776,1,28,2025-11-07T12:35:38Z,24,0,Entertainment,"[""shorts""]",[],[],"[""shorts""]"
JeR9UgqfUqw,Мамские будни! Засмеялся - Подписался ч.80 #смех #юмор #мемы,,ТРУСЫ ДЕДА,[],1417568,20082.11564997612,1,23,2025-11-10T14:03:00Z,24,0,Entertainment,"[""смех"", ""мемы"", ""юмор""]",[],[],"[""мемы"", ""смех"", ""юмор""]"
m57cNJTiHHE,Эпичная концовка. Дети подарили дорогой подарок отцу? #shorts #опрос #юмор,,Loyalty,[],5527213,33618.08115575175,1,31,2025-11-06T16:13:36Z,24,0,Entertainment,"[""юмор"", ""опрос"", ""shorts""]",[],[],"[""shorts"", ""опрос"", ""юмор""]"
