video_id,title,description,channel_title,tags_api_raw,views,views_per_hour,from_shorts,duration_sec,published_at,category_id,category_name,hashtags_extracted,tags_common,tags_only_api,tags_only_hash
shHVBgeZ4Iw,"Знаменитости, погибшие во время выступления.","✔✔✔ТЛЕГРАММ КАНАЛ    https://t.me/prosperitymind  ✔✔✔


Transition by Alex-Productions | https://onsound.eu/
Music promoted by https://www.free-stock-music.com
Creative Commons / Attribution 3.0 Unported License (CC BY 3.0)
https://creativecommons.org/licenses/by/3.0/deed.en_US

Video by ROMAN ODINTSOV: https://www.pexels.com/video/a-man-walking-on-an-edge-and-taking-a-photo-5667135/

Video by Darina Belonogova: https://www.pexels.com/video/woman-eating-pastries-7214704/

Video by Tima Miroshnichenko: https://www.pexels.com/video/group-of-people-having-a-therapy-session-5712757/

Video by Kindel Media: https://www.pexels.com/video/people-going-up-the-stairs-7578477/

Video by Pavel Danilyuk: https://www.pexels.com/video/business-people-collaboration-in-a-meeting-5520073/

Video by Timur Weber: https://www.pexels.com/video/a-man-lying-on-the-bed-8558498/

Video by Ron Lach : https://www.pexels.com/video/man-waking-up-n-bed-and-checking-his-phone-9615484/

Video by cottonbro studio: https://www.pexels.com/video/unwell-woman-sitting-on-the-bed-6754003/
Video by MART  PRODUCTION: https://www.pexels.com/video/a-frustrated-man-sitting-on-the-bed-7698695/

Transition by Alex-Productions | https://onsound.eu/
Music promoted by https://www.free-stock-music.com
Creative Commons / Attribution 3.0 Unported License (CC BY 3.0)
https://creativecommons.org/licenses/by/3.0/deed.en_US



The Crown by Alexander Nakarada (CreatorChords) | https://creatorchords.com
Music promoted by https://www.free-stock-music.com
Creative Commons / Attribution 4.0 International (CC BY 4.0)
https://creativecommons.org/licenses/by/4.0/
Be Inspired by Keys of Moon | https://soundcloud.com/keysofmoon
Music promoted by https://www.free-stock-music.com
Creative Commons / Attribution 4.0 International (CC BY 4.0)
https://creativecommons.org/licenses/by/4.0/

Трек: Warriyo - Mortals (feat. Laura Brehm) [NCS Release]
Музыка предоставлена NoCopyrightSounds.
Смотреть: http://NCS.lnk.to/MortalsAT/youtube Скачать бесплатно / Стрим: http://ncs.io/Mortals - - - -


https://pixabay.com/ru/users/zethian-12909724/?utm_source=link-attribution&utm_medium=referral&utm_campaign=video&utm_content=57277

«Разработано Freepik» www.freepik.com

https://ru.pikbest.com/video/4k-mother-and-son-walking-in-the-park-back-view-real-shot_5615987.html

Made With Suno   https://app.suno.ai/song/a9565307-e0ae-47c3-a406-452dc4b09579/


Video oleh Taryn Elliott: https://www.pexels.com/id-id/video/wanita-gerak-lambat-model-kendaraan-5309420/

Vecteezy.com

https://mixkit.co/

I got this free video on Coverr.co https://coverr.co/videos/walking-to-the-mountain-top-q0cbjupqo6?utm_source=coverr&utm_medium=referral&utm_content=creditShareLink

Video by MART  PRODUCTION: https://www.pexels.com/video/a-man-reading-newspaper-7263305/
Video by Kelly    : https://www.pexels.com/video/a-person-reading-a-burning-news-paper-6399898/

Video by cottonbro studio: https://www.pexels.com/video/a-man-inside-a-plane-6700089/

Video by Ono  Kosuki: https://www.pexels.com/video/woman-sitting-inside-the-train-while-reading-a-newspaper-5995593/

Video by Vanessa Garcia : https://www.pexels.com/video/man-in-business-attire-reading-a-newspaper-6324894/

Video by Dziana Hasanbekava: https://www.pexels.com/video/video-of-a-man-drinking-while-reading-a-book-7063373/

Video by Ron Lach : https://www.pexels.com/video/man-sitting-on-bed-in-prison-10472895/

Video by Emirhan Emiroğlu: https://www.pexels.com/video/man-sitting-behind-bonfire-14146234/

Video by  Anastasia  Shuraeva: https://www.pexels.com/video/a-man-reading-a-newspaper-by-the-beach-7539474/

Video by Dronepilot Chile : https://www.pexels.com/video/a-man-standing-on-a-rock-at-the-beach-16435017/

Video by Ono  Kosuki: https://www.pexels.com/video/woman-reading-a-newspaper-while-riding-inside-the-train-5999654/

Video by ANTONI SHKRABA production: https://www.pexels.com/video/an-elderly-man-reading-a-book-by-a-window-8870274/
https://pixabay.com/ru/users/nourdinaska-42807016/?utm_source=link-attribution&utm_medium=referral&utm_campaign=video&utm_content=203720

Трасса: Razihel - Faster [NCS Release]
Музыка предоставлена NoCopyrightSounds.
 

 • RAIZHELL - Быстрее | Фонк | NCS - Полицейский... 

Video by MART  PRODUCTION: https://www.pexels.com/video/woman-tired-after-work-7605057/

#интересныефакты #мотивационнаяречь  #сильныеслова #заработок
#motivation #мотивация #мотивациянауспех #саморазвитие #успех",Мотивационный Взрыв,"[""мотивационный взрыв"", ""мотивационный"", ""взрыв"", ""взрыв мозга"", ""мотивация"", ""успех"", ""цели"", ""саморазвитие"", ""личная эффективность"", ""вдохновение"", ""достижение"", ""мотивационные истории"", ""путь к мечте"", ""мотивационные цитаты"", ""личная трансформация"", ""самомотивация"", ""мотивационный контент"", ""мотивационный спикер"", ""ежедневная мотивация.""]",4837182,41541.06620443641,0,67,2025-11-08T16:03:13Z,1,Film & Animation,"[""мотивация"", ""саморазвитие"", ""интересныефакты"", ""сильныеслова"", ""успех"", ""motivation"", ""мотивациянауспех"", ""заработок"", ""мотивационнаяречь""]","[""мотивация"", ""саморазвитие"", ""успех""]","[""вдохновение"", ""взрыв"", ""взрыв мозга"", ""достижение"", ""ежедневная мотивация."", ""личная трансформация"", ""личная эффективность"", ""мотивационные истории"", ""мотивационные цитаты"", ""мотивационный"", ""мотивационный взрыв"", ""мотивационный контент"", ""мотивационный спикер"", ""путь к мечте"", ""самомотивация"", ""цели""]","[""motivation"", ""заработок"", ""интересныефакты"", ""мотивационнаяречь"", ""мотивациянауспех"", ""сильныеслова""]"
enE_vbpHNs0,Доверил друзьям ответственную работу и сильно пожалел об этом 😂 #фильмы#фильм#кино#сериал,,Great Scene,[],1616129,64226.152620840265,1,60,2025-11-12T11:20:02Z,1,Film & Animation,"[""кино"", ""фильмы"", ""сериал"", ""фильм""]",[],[],"[""кино"", ""сериал"", ""фильм"", ""фильмы""]"
kMNVcVKSRTg,Люди с плохим зрением такие 🍄😜🤙🏻 #натальнаякарта #лапенко #иванченко #журавлев #mediumquality,#натальнаякарта,easycom,"[""женский форум"", ""женский юмор"", ""стендап на тнт"", ""стендап"", ""юмор"", ""женшины"", ""форум"", ""борисова"", ""наталья борисова"", ""варя щербакова"", ""щербакова"", ""саша муратова"", ""муратова"", ""оля парфенюк"", ""смешно"", ""смешная ситуация"", ""ситуация"", ""треш"", ""кринж"", ""в шоке"", ""парфенюк"", ""шок контент"", ""девочки шутят"", ""комедия"", ""комедийное шоу"", ""комедийно-импровизационное шоу"", ""подруги"", ""подружки"", ""подружки хохотушки"", ""хохотушки"", ""смешные"", ""варвара щербакова""]",1118473,16042.281354724555,1,11,2025-11-10T14:46:36Z,1,Film & Animation,"[""журавлев"", ""натальнаякарта"", ""иванченко"", ""mediumquality"", ""лапенко""]",[],"[""борисова"", ""в шоке"", ""варвара щербакова"", ""варя щербакова"", ""девочки шутят"", ""женский форум"", ""женский юмор"", ""женшины"", ""комедийно-импровизационное шоу"", ""комедийное шоу"", ""комедия"", ""кринж"", ""муратова"", ""наталья борисова"", ""оля парфенюк"", ""парфенюк"", ""подруги"", ""подружки"", ""подружки хохотушки"", ""саша муратова"", ""ситуация"", ""смешная ситуация"", ""смешно"", ""смешные"", ""стендап"", ""стендап на тнт"", ""треш"", ""форум"", ""хохотушки"", ""шок контент"", ""щербакова"", ""юмор""]","[""mediumquality"", ""журавлев"", ""иванченко"", ""лапенко"", ""натальнаякарта""]"
gGGzxSaZYlg,ЗАСМЕЯЛСЯ - ПОДПИШИСЬ! 🤣 ч.50,"React: @КоммeнтШоу

Все видео сделаны и отредактированы лично мной, но я не претендую на авторство материала, из которого они изготовлены.

Если у вас есть вопросы по авторским правам на видео, пожалуйста, свяжитесь со мной в Telegram @mark_yout до предпринятия каких-либо действий и я отвечу Вам в течение 2 часов. 
Видео будет удалено с канала или я Вас отмечу (как Вы посчитаете нужным).

If you have any questions regarding the copyrights on the videos, please contact me at Telegram @mark_yout before taking any action.

Copyright Notice: In accordance with Section 107 of the Copyright Act of 1976, this material is used under the 'fair use' provision for activities such as criticism, commentary, news reporting, teaching, scholarship, and research.",Turbo Shorts | ЗАСМЕЯЛСЯ - ПОДПИСАЛСЯ,[],1064174,21441.413360506536,1,16,2025-11-11T10:51:55Z,1,Film & Animation,[],[],[],[]
BRYNPhx4nN4,Жена сказала — не лезь! Но он не послушал… и зря 😂💥,"Жена крикнула: «Не лезь туда!» — но он был уверен, что всё под контролем 😂 Пошёл чинить старый туалет… и через секунду случилось то, чего все ждали 💥 Реальные кадры самоуверенности и эпичного фейла, от которых невозможно не смеяться!",Станислав Антонов,[],4097083,19465.551125841197,1,12,2025-11-04T18:01:06Z,1,Film & Animation,[],[],[],[]
x94Icv5z6bQ,"Вот так это работает, когда вы задаёте свои правила в чужой игре",,Артем Сенаторов Shorts,[],836353,34852.41663808727,0,70,2025-11-12T12:30:00Z,1,Film & Animation,[],[],[],[]
RYgLRh5xoiM,Черти не боятся крестов😁 #ВолшебныйУчасток2,"Сериал: «Волшебный участок» 2023
Сезон 2 | Серия 1
Рейтинг на Оkko: 8.9
Жанр: Комедия, Фэнтези, Боевик

Описание:
Лёха — бывший полицейский. В разгар запоя он узнает о смертельной болезни своей сестры Кати. Она не хочет, чтобы после смерти ее дочку отдали в детский дом, и просит Лёху взяться за голову, чтобы он стал опекуном восьмилетней девочки. Лёха делает всё, чтобы помочь сестре: поднимает старые связи и устраивается на работу в полицейский участок. Участок оказывается непростым. Преступники, которых должен ловить Лёха — сказочные персонажи: Змей Горыныч, Баба Яга и прочая нечисть. И если проблем с поимкой злодеев у бывшего снайпера не возникает, то попытки стать хорошим опекуном становятся для Лёхи настоящим испытанием.",kinoluv,[],1653445,25253.485708584092,1,30,2025-11-10T19:01:23Z,1,Film & Animation,"[""волшебныйучасток2""]",[],[],"[""волшебныйучасток2""]"
QAuEEddBJ28,Выходной удался! Нельзя смеяться ч. 99 #шортс #юмор #смех,,Шорты Енота,[],1943991,13551.98206927879,1,60,2025-11-07T13:03:00Z,1,Film & Animation,"[""смех"", ""шортс"", ""юмор""]",[],[],"[""смех"", ""шортс"", ""юмор""]"
Af60S6t1h40,БОКСЁР ЗАСТУПИЛСЯ ЗА СВОЕГО БРАТА #кино #фильмы,,Explain Clearly,[],3148756,25505.62890051177,1,60,2025-11-08T09:02:37Z,1,Film & Animation,"[""кино"", ""фильмы""]",[],[],"[""кино"", ""фильмы""]"
1uoSc7hQhVI,Курсант Кащей чуть не наказал своего #shorts #фильмы #кино,#кино #фильм #сериал,Kino-Akula,"[""кино"", ""фильм"", ""сериал""]",2506405,21150.7423357721,1,57,2025-11-08T13:59:42Z,1,Film & Animation,"[""фильмы"", ""shorts"", ""кино"", ""сериал"", ""фильм""]","[""кино"", ""сериал"", ""фильм""]",[],"[""shorts"", ""фильмы""]"
